date,tempC,tempF,humid,heatindex
20010920,21.6,70.9,61.8,21.61
20010921,19.3,66.7,47.4,19.28
20010922,17.3,63.2,39.6,17.34
20010923,18.7,65.7,55.3,18.75
20010924,18.9,66.1,67.3,18.93
20010925,21.1,70,62.1,21.12
20010926,20.9,69.6,55.8,20.86
20010927,21.7,71.1,50.8,21.7
20010928,21.1,69.9,48,21.07
20010929,20.4,68.8,54.4,20.42
20010930,16.2,61.1,79.1,16.15
20011001,15.4,59.8,88.3,15.43
20011002,17.4,63.3,73.5,17.38
20011003,18.8,65.8,71.5,18.77
20011004,17,62.5,77.1,16.96
20011005,15.1,59.2,66.6,15.09
20011006,16.6,61.9,66.3,16.58
20011007,18.2,64.7,55.4,18.17
20011008,18.9,66,56.8,18.89
20011009,16.1,61.1,82.4,16.15
20011010,13.9,57.1,88.1,13.94
20011011,15.9,60.6,75,15.87
20011012,16,60.8,65.4,16
20011013,16.8,62.3,67.8,16.81
20011014,17.6,63.7,63.8,17.61
20011015,17.1,62.8,69.3,17.09
20011016,17.1,62.8,64.8,17.11
20011017,13.1,55.6,32.9,13.11
20011018,13.9,57,52.1,13.87
20011019,14.7,58.4,58.3,14.65
20011020,15.5,59.9,54.5,15.52
20011021,16.9,62.4,54.3,16.87
20011022,18.4,65.1,54.8,18.38
20011023,17,62.6,65.1,16.98
20011024,16.4,61.5,64.8,16.41
20011025,17.4,63.3,63.5,17.37
20011026,17.9,64.2,70,17.89
20011027,16.8,62.2,71.8,16.8
20011028,18.2,64.8,58.5,18.21
20011029,15.9,60.6,57.3,15.89
20011030,15.4,59.7,67.9,15.38
20011031,15.2,59.4,66,15.24
20011101,12.4,54.2,58.5,12.35
20011102,8.1,46.5,43.8,8.07
20011103,10.1,50.3,44.8,10.15
20011104,8.7,47.6,46.9,8.69
20011105,8.6,47.5,67.5,8.63
20011106,4.7,40.5,53.9,4.71
20011107,5.8,42.4,54.1,5.75
20011108,9,48.2,67.4,9
20011109,10.9,51.6,71.3,10.89
20011110,9.1,48.4,63.7,9.1
20011111,9.4,48.9,69.9,9.36
20011112,7.9,46.3,51.4,7.92
20011113,4.8,40.7,35.2,4.84
20011114,4.4,39.9,38.9,4.36
20011115,5.1,41.2,50.6,5.13
20011116,6.8,44.2,64.3,6.75
20011117,7.4,45.4,52.7,7.44
20011118,6.8,44.2,48.5,6.78
20011119,7.8,46,52.1,7.75
20011120,8.5,47.3,65.8,8.48
20011121,9.5,49.2,75,9.54
20011122,8.2,46.8,83,8.22
20011123,9.2,48.5,78.4,9.18
20011124,9.3,48.8,81.1,9.34
20011125,3.9,39,56.9,3.9
20011126,0.2,32.4,38.4,0.2
20011127,0.5,32.9,51.3,0.5
20011128,7,44.5,60.3,6.96
20011129,6.8,44.2,86,6.79
20011130,2,35.6,42.5,2.01
20011201,1.9,35.4,58.5,1.91
20011202,1.4,34.5,72.6,1.4
20011203,2,35.6,54.1,2.01
20011204,2.8,37,39.4,2.75
20011205,2.1,35.7,29.8,2.07
20011206,0.3,32.5,36,0.28
20011207,-0.9,30.4,37.8,-0.87
20011208,1.9,35.5,36.3,1.92
20011209,2.1,35.7,49.3,2.07
20011210,2.7,36.8,45.8,2.69
20011211,5.8,42.5,52.8,5.82
20011212,5.5,41.8,69.2,5.47
20011213,-1.8,28.8,57.8,-1.78
20011214,-5.1,22.8,41.8,-5.13
20011215,-5.6,22,32.5,-5.55
20011216,-3.8,25.1,37.1,-3.83
20011217,-2.1,28.2,51.2,-2.12
20011218,-5,22.9,39.7,-5.04
20011219,-3.6,25.5,41.3,-3.61
20011220,-1.8,28.8,39.5,-1.79
20011221,-1.4,29.5,55.5,-1.37
20011222,-2.8,26.9,49.9,-2.81
20011223,-2.2,28.1,54.5,-2.18
20011224,-0.3,31.4,59.6,-0.33
20011225,1.5,34.7,52,1.48
20011226,-0.3,31.5,48.8,-0.28
20011227,-1.2,29.8,40.2,-1.21
20011228,-1.4,29.5,42.4,-1.41
20011229,-1.2,29.8,70.6,-1.22
20011230,-4.4,24.1,47.7,-4.39
20011231,-2.5,27.6,71.6,-2.45
20020101,-4.2,24.5,58.6,-4.19
20020102,-9.5,14.8,44.7,-9.54
20020103,-7.1,19.2,53.1,-7.09
20020104,1.1,33.9,72.9,1.07
20020105,-0.3,31.4,46.3,-0.31
20020106,-0.4,31.3,49.3,-0.39
20020107,-1.7,28.9,60.1,-1.7
20020108,-6.6,20.1,51.3,-6.6
20020109,-4,24.8,55.1,-4
20020110,1.8,35.2,64.7,1.78
20020111,3.9,39,72.1,3.86
20020112,4.6,40.2,64,4.58
20020113,7.1,44.8,64.8,7.13
20020114,10,50.1,73.3,10.03
20020115,12.2,53.9,93.3,12.18
20020116,7.7,45.9,82.3,7.73
20020117,3.2,37.7,87.2,3.18
20020118,2.2,35.9,80,2.17
20020119,5,41,70.5,5.01
20020120,2.7,36.9,87.3,2.75
20020121,0.1,32.2,82.6,0.1
20020122,-4.3,24.2,59.4,-4.33
20020123,-4.2,24.4,53.3,-4.24
20020124,-3,26.6,46.7,-2.98
20020125,-2,28.3,47.8,-2.04
20020126,1.2,34.1,68.1,1.18
20020127,0.3,32.5,65.5,0.29
20020128,-2.9,26.8,53,-2.88
20020129,-2.1,28.2,54.1,-2.12
20020130,-0.1,31.7,52.9,-0.15
20020131,-1.9,28.6,47.4,-1.91
20020201,1,33.8,63.1,0.98
20020202,4.4,39.8,65.5,4.36
20020203,3.9,39.1,52.2,3.92
20020204,3.9,39,52.5,3.88
20020205,4.8,40.7,49.2,4.84
20020206,6,42.8,71.4,6
20020207,4.1,39.4,49.7,4.13
20020208,2.7,36.8,60.8,2.68
20020209,-2.2,28.1,32.1,-2.15
20020210,-0.4,31.3,53.8,-0.41
20020211,-1.8,28.8,44.3,-1.75
20020212,-1.2,29.9,40.1,-1.18
20020213,0.2,32.3,45.1,0.19
20020214,1.1,34,33.5,1.13
20020215,1.5,34.7,49.7,1.51
20020216,3.3,37.9,75,3.25
20020217,3.2,37.8,72.4,3.22
20020218,-1.6,29.1,42.2,-1.63
20020219,-0.8,30.5,36.8,-0.84
20020220,2.8,37,65.1,2.76
20020221,3.9,39,78.1,3.9
20020222,5.5,41.9,67.7,5.53
20020223,5,41,37.2,5.01
20020224,6,42.8,41.5,6
20020225,5.3,41.6,54.4,5.33
20020226,6.3,43.4,58.9,6.33
20020227,7.2,45,67.7,7.23
20020228,6.5,43.6,74.9,6.46
20020301,6.3,43.3,67.8,6.28
20020302,7.2,45,53.7,7.22
20020303,5,41,55.4,5
20020304,3.9,39,39.2,3.87
20020305,4.3,39.7,60.9,4.26
20020306,2,35.6,69.8,2.01
20020307,0.9,33.7,44.3,0.93
20020308,3.6,38.5,56.3,3.6
20020309,8.6,47.4,61.6,8.57
20020310,9.6,49.2,55.5,9.55
20020311,7.4,45.2,46,7.35
20020312,9.1,48.3,58.3,9.06
20020313,11.3,52.3,41.3,11.25
20020314,10.6,51,48.8,10.57
20020315,8.7,47.7,67.7,8.74
20020316,8.2,46.7,46.8,8.18
20020317,9.4,48.8,46,9.35
20020318,7.5,45.6,52.3,7.53
20020319,8.4,47.1,48.7,8.41
20020320,11.2,52.2,53,11.22
20020321,7.4,45.4,63.8,7.44
20020322,6.7,44.1,47.9,6.7
20020323,4.7,40.5,37.6,4.73
20020324,5,41.1,40.1,5.03
20020325,7,44.6,59,7
20020326,9,48.2,63.8,9
20020327,10.3,50.6,47,10.34
20020328,11.2,52.1,46.6,11.15
20020329,12.3,54.1,61.8,12.28
20020330,8.8,47.8,70.9,8.8
20020331,9.6,49.2,82.8,9.58
20020401,12.7,54.8,63.1,12.66
20020402,15.2,59.4,45.6,15.22
20020403,15.3,59.5,33.5,15.27
20020404,15,59,26.1,14.99
20020405,17.8,64,30.3,17.78
20020406,11.4,52.4,88.2,11.36
20020407,8.9,48,90,8.86
20020408,8.6,47.4,48.3,8.58
20020409,7.1,44.7,52.4,7.07
20020410,8.1,46.6,56.8,8.13
20020411,9.2,48.6,49.2,9.24
20020412,9.9,49.8,69.2,9.86
20020413,11,51.7,56.6,10.96
20020414,18.8,65.8,45,18.8
20020415,19.9,67.9,63.3,19.92
20020416,14.3,57.7,89.9,14.25
20020417,10,50,44.6,10
20020418,11,51.9,46.3,11.05
20020419,12.2,53.9,39,12.19
20020420,14.2,57.5,32.9,14.15
20020421,16.8,62.2,46.8,16.79
20020422,20.5,68.9,53.1,20.52
20020423,17.6,63.7,69.7,17.62
20020424,11,51.7,44.1,10.95
20020425,10.7,51.2,40.9,10.66
20020426,13.8,56.9,37,13.81
20020427,16.5,61.7,32,16.48
20020428,18.2,64.7,36.6,18.17
20020429,15.2,59.4,82.5,15.22
20020430,14.7,58.5,87.9,14.7
20020501,18.7,65.6,42.1,18.68
20020502,18.7,65.7,31.2,18.72
20020503,15.6,60.1,83.8,15.64
20020504,19.1,66.5,70,19.14
20020505,19.6,67.2,48.8,19.55
20020506,16,60.9,53.4,16.03
20020507,11.4,52.5,89.2,11.38
20020508,16.4,61.6,60.3,16.42
20020509,18.1,64.5,66.8,18.07
20020510,18.3,65,73.7,18.34
20020511,18.1,64.5,69.6,18.08
20020512,16.5,61.8,73.5,16.54
20020513,17.9,64.3,71.8,17.93
20020514,20.9,69.6,64.3,20.88
20020515,18.8,65.8,65.5,18.75
20020516,14.9,58.8,77.6,14.9
20020517,13.4,56,85.3,13.35
20020518,16.9,62.4,72.5,16.89
20020519,17.1,62.9,68.3,17.14
20020520,19.2,66.6,54.8,19.21
20020521,19.5,67.2,47.3,19.54
20020522,20.1,68.2,54.4,20.1
20020523,21.8,71.2,39.3,21.78
20020524,20.2,68.4,43.6,20.21
20020525,20,68,50.4,20
20020526,18.7,65.7,57.5,18.7
20020527,18.4,65.1,55.4,18.41
20020528,19.3,66.8,43.5,19.31
20020529,20.4,68.7,46.4,20.4
20020530,19.1,66.4,76.4,19.13
20020531,19.6,67.2,79,19.55
20020601,20.2,68.4,71.1,20.2
20020602,22.5,72.5,50.5,22.5
20020603,23.4,74.2,46.6,23.42
20020604,22.5,72.4,56.6,22.45
20020605,24.9,76.9,52.6,24.93
20020606,26,78.7,53.7,25.97
20020607,25.5,78,51.5,25.55
20020608,22.1,71.8,69.4,22.1
20020609,22.7,72.9,66,22.7
20020610,22.5,72.5,76.5,22.51
20020611,21.8,71.3,60.1,21.82
20020612,18.6,65.5,69,18.6
20020613,19.9,67.8,69.8,19.88
20020614,20.3,68.6,66.1,20.33
20020615,20.6,69.1,66.5,20.63
20020616,22.2,72,58.9,22.24
20020617,23.1,73.5,58.8,23.08
20020618,23.7,74.6,61.5,23.68
20020619,22.3,72.1,71.8,22.27
20020620,22.2,72,77.1,22.2
20020621,23.5,74.4,66.3,23.53
20020622,23.8,74.8,52.7,23.78
20020623,18.4,65.2,77.4,18.43
20020624,16.4,61.5,76.8,16.38
20020625,19.8,67.7,49.4,19.82
20020626,20.8,69.4,47.4,20.78
20020627,21.7,71.1,59.6,21.73
20020628,23.3,74,58.6,23.34
20020629,25.7,78.2,48.9,25.65
20020630,26.2,79.2,53.2,26.24
20020701,25,77,68.5,25.02
20020702,24.3,75.7,80.6,24.29
20020703,25.9,78.6,69,25.88
20020704,27.5,81.5,62.9,29.03
20020705,23.8,74.9,84.2,23.81
20020706,21.3,70.4,88.3,21.33
20020707,22.6,72.6,73.1,22.58
20020708,24.1,75.4,69.4,24.11
20020709,25.2,77.3,64.9,25.17
20020710,26.2,79.1,61,26.18
20020711,25.3,77.6,61.6,25.34
20020712,25.3,77.6,67,25.34
20020713,25.2,77.3,69,25.17
20020714,23.5,74.2,92.6,23.47
20020715,25.6,78.2,82.3,25.65
20020716,24.7,76.5,74.4,24.7
20020717,24.4,75.9,73.8,24.4
20020718,24.7,76.4,66.1,24.68
20020719,21.1,70.1,85.7,21.15
20020720,23.3,73.9,76.9,23.25
20020721,25.6,78.1,76.1,25.6
20020722,24.6,76.3,84,24.6
20020723,22.3,72.2,93.5,22.34
20020724,25.2,77.3,81.5,25.16
20020725,27.4,81.4,76.3,30.32
20020726,27.9,82.3,64.3,29.83
20020727,29.2,84.5,60.6,31.4
20020728,30.2,86.4,57.9,32.81
20020729,27.7,81.9,75.2,30.81
20020730,26.6,80,80,26.64
20020731,26,78.8,81.7,26.02
20020801,26,78.7,81.1,25.95
20020802,26,78.8,78.9,25.99
20020803,25.8,78.4,77.6,25.77
20020804,25.6,78.1,86.3,25.59
20020805,26.7,80.1,83,29.34
20020806,22.8,73.1,92.1,22.82
20020807,21.1,69.9,95.4,21.06
20020808,24.9,76.9,80.4,24.93
20020809,25.5,77.8,69.8,25.45
20020810,21.8,71.3,83.4,21.83
20020811,20.3,68.5,85.9,20.26
20020812,20.6,69.1,81.7,20.62
20020813,22.9,73.3,78.2,22.94
20020814,23.1,73.6,73.4,23.1
20020815,24,75.2,70.3,24
20020816,23.9,75,72,23.91
20020817,22.9,73.3,85.5,22.95
20020818,24.5,76.2,82.8,24.53
20020819,22.6,72.7,80,22.6
20020820,24.4,75.9,59.7,24.39
20020821,24.4,76,72.5,24.44
20020822,22.9,73.2,86.5,22.86
20020823,24.6,76.2,85.3,24.56
20020824,25.6,78.1,71.8,25.62
20020825,25.2,77.4,73.2,25.23
20020826,26.5,79.6,73.1,26.47
20020827,24.4,75.9,85.2,24.39
20020828,25.5,77.8,72.2,25.47
20020829,27.9,82.1,70,30.4
20020830,25.9,78.7,77.1,25.95
20020831,22.6,72.7,82.4,22.61
20020901,23,73.5,73.8,23.05
20020902,25.2,77.4,79.3,25.2
20020903,26.4,79.6,78.8,26.43
20020904,26.4,79.5,68.7,26.38
20020905,23,73.3,76,22.95
20020906,21.8,71.3,58.4,21.81
20020907,22.7,72.9,49.9,22.71
20020908,23.2,73.8,62.1,23.2
20020909,23.9,74.9,71,23.85
20020910,24.7,76.4,55.2,24.67
20020911,24.2,75.6,68.6,24.24
20020912,20.5,68.9,83.2,20.48
20020913,19.4,66.9,73.2,19.38
20020914,20.6,69,71.3,20.55
20020915,18.6,65.5,78.6,18.62
20020916,18.7,65.7,68,18.73
20020917,20.5,68.9,56.5,20.48
20020918,21.3,70.3,57.2,21.29
20020919,21.4,70.5,60.5,21.39
20020920,20.8,69.5,64.3,20.83
20020921,19.7,67.4,78.5,19.67
20020922,19.7,67.5,57.1,19.7
20020923,19.4,66.8,57.9,19.36
20020924,20.2,68.4,64,20.24
20020925,20.8,69.4,56.4,20.78
20020926,21.6,70.8,58.3,21.56
20020927,20.6,69,63.5,20.56
20020928,20.3,68.5,63.1,20.29
20020929,19.4,66.8,74.2,19.35
20020930,18.7,65.6,77.5,18.65
20021001,19.1,66.3,72.9,19.06
20021002,17.1,62.7,64.5,17.05
20021003,15.9,60.6,63.7,15.91
20021004,15,59.1,47.3,15.05
20021005,16.2,61.1,69,16.16
20021006,17,62.5,70.3,16.95
20021007,14.6,58.3,57.5,14.59
20021008,12.6,54.6,51.3,12.58
20021009,13.6,56.5,53.2,13.63
20021010,15.2,59.3,57.9,15.15
20021011,16.6,61.8,63.4,16.58
20021012,17.5,63.6,71.4,17.53
20021013,18.6,65.4,67.2,18.58
20021014,15.8,60.4,60.6,15.75
20021015,15,59,69.6,14.98
20021016,14.4,58,74.6,14.44
20021017,17.3,63.2,69,17.32
20021018,17.5,63.5,74.8,17.48
20021019,16.2,61.1,57.7,16.15
20021020,13.7,56.7,64.5,13.7
20021021,11.5,52.7,60.9,11.5
20021022,5.1,41.2,42.4,5.1
20021023,6.4,43.4,41.3,6.35
20021024,9.6,49.3,55.6,9.62
20021025,9.4,48.9,75.2,9.39
20021026,6.9,44.4,68.2,6.88
20021027,3.9,39.1,52.3,3.95
20021028,3.2,37.8,48,3.22
20021029,4.9,40.8,51.1,4.88
20021030,6.7,44.1,49.2,6.7
20021031,11,51.7,50.4,10.95
20021101,5,41,45.5,4.99
20021102,4.2,39.5,55.5,4.17
20021103,3.9,39,51.9,3.88
20021104,1.3,34.4,43.8,1.33
20021105,3.6,38.5,40.9,3.61
20021106,9.8,49.7,42.5,9.83
20021107,12,53.6,70.9,12.01
20021108,3,37.3,51.2,2.96
20021109,1.8,35.2,44.6,1.75
20021110,8.2,46.7,63.6,8.15
20021111,13.5,56.3,70.4,13.51
20021112,5.5,42,37.3,5.53
20021113,2.1,35.7,41.3,2.05
20021114,3.2,37.7,61.4,3.19
20021115,0.7,33.2,39.5,0.66
20021116,2.1,35.9,34.4,2.14
20021117,2.6,36.7,64.6,2.64
20021118,-1,30.2,51.7,-0.99
20021119,0.7,33.3,54.6,0.72
20021120,4.1,39.4,78.3,4.1
20021121,1.9,35.4,56.6,1.9
20021122,4,39.2,59,3.99
20021123,6.6,43.9,59.3,6.64
20021124,6.2,43.1,65.3,6.15
20021125,2.6,36.6,63.3,2.58
20021126,0.7,33.3,66.2,0.75
20021127,-0.7,30.7,46.2,-0.72
20021128,2.3,36.2,55,2.32
20021129,7.1,44.7,78,7.08
20021130,4.1,39.4,68.6,4.13
20021201,4.4,40,59.8,4.44
20021202,7.1,44.7,62.9,7.08
20021203,7.3,45.2,55.1,7.32
20021204,11.4,52.5,47.1,11.38
20021205,7.8,46.1,68.8,7.83
20021206,6.5,43.7,63.5,6.52
20021207,5.4,41.7,65.5,5.36
20021208,1.8,35.2,80.4,1.76
20021209,-5,23,52.5,-5
20021210,-6.5,20.4,42,-6.45
20021211,-5.5,22.1,37.5,-5.51
20021212,-3.9,25,44.8,-3.91
20021213,-3.2,26.3,43.9,-3.19
20021214,-0.5,31,55.6,-0.53
20021215,4.6,40.3,59.7,4.6
20021216,5.2,41.4,83.4,5.2
20021217,2.7,36.8,74.3,2.66
20021218,3.9,39,71.4,3.89
20021219,3.3,38,52.4,3.31
20021220,4.2,39.6,54.4,4.23
20021221,6.6,43.8,54.3,6.58
20021222,6.3,43.4,56.3,6.31
20021223,5.8,42.5,69.3,5.83
20021224,2.6,36.7,76.5,2.62
20021225,-2.1,28.2,72.3,-2.12
20021226,-6.2,20.9,47.7,-6.15
20021227,-4.6,23.7,45.5,-4.64
20021228,-1,30.2,64.1,-1.02
20021229,-2.4,27.7,52.1,-2.37
20021230,-2.1,28.2,60.2,-2.12
20021231,-1.2,29.8,65.9,-1.21
20030101,-4.4,24,48.4,-4.42
20030102,-4.7,23.6,43,-4.65
20030103,-3.3,26.1,68,-3.3
20030104,-9.6,14.7,62.7,-9.6
20030105,-12.8,9,46.5,-12.78
20030106,-9.5,14.8,47,-9.53
20030107,-5.9,21.4,54.1,-5.9
20030108,-3.6,25.5,65.3,-3.62
20030109,0.4,32.6,71,0.35
20030110,0.8,33.5,75.5,0.84
20030111,0.4,32.7,70.5,0.41
20030112,3.6,38.5,69.3,3.6
20030113,5.6,42.1,81.9,5.63
20030114,-1.5,29.3,49,-1.49
20030115,-4.1,24.6,43.3,-4.1
20030116,-0.6,30.9,54.5,-0.59
20030117,2.8,37,74.8,2.77
20030118,2,35.6,77.1,2.01
20030119,1,33.8,68.3,1.01
20030120,-0.3,31.4,54.7,-0.34
20030121,-2.2,28.1,47.9,-2.15
20030122,-2,28.4,71.8,-2.03
20030123,-1.3,29.6,67.9,-1.33
20030124,-1.7,29,50.8,-1.68
20030125,-0.1,31.9,48.3,-0.08
20030126,2.6,36.7,65,2.6
20030127,-1,30.2,84.1,-0.98
20030128,-7.6,18.3,54.4,-7.63
20030129,-11.7,10.9,44.3,-11.74
20030130,-7.8,17.9,49,-7.82
20030131,-2.5,27.5,56.2,-2.5
20030201,-1.5,29.3,51.4,-1.51
20030202,-0.6,30.9,56.1,-0.62
20030203,-0.6,31,51,-0.56
20030204,0.6,33,50.3,0.58
20030205,-0.1,31.8,47.2,-0.09
20030206,0.1,32.2,55.7,0.09
20030207,4.1,39.4,64.4,4.11
20030208,4.6,40.2,75.7,4.58
20030209,4.5,40.1,79.6,4.52
20030210,5.6,42,71,5.58
20030211,0.2,32.4,61.2,0.24
20030212,-4.4,24.1,42.6,-4.41
20030213,1.3,34.3,62.5,1.28
20030214,2.7,36.9,57.2,2.71
20030215,3.8,38.9,39.8,3.84
20030216,4.3,39.7,45.4,4.28
20030217,4.2,39.6,57.1,4.23
20030218,4,39.3,71.1,4.04
20030219,2.4,36.3,78.9,2.4
20030220,3.1,37.6,52.5,3.14
20030221,3.6,38.4,60,3.58
20030222,3.6,38.5,87.5,3.6
20030223,2.9,37.2,73.1,2.9
20030224,3.7,38.7,76.9,3.72
20030225,4.2,39.5,70.2,4.19
20030226,5,41,68.1,5.01
20030227,5.9,42.7,56.4,5.93
20030228,6.2,43.2,58,6.22
20030301,6.7,44.1,68.7,6.7
20030302,4.2,39.6,71.7,4.2
20030303,1,33.7,58.9,0.95
20030304,-1.3,29.7,36.3,-1.26
20030305,2.2,35.9,40,2.18
20030306,3.4,38,70.8,3.36
20030307,3,37.5,85.9,3.03
20030308,2.6,36.6,76,2.58
20030309,3.2,37.7,71.8,3.19
20030310,4.6,40.2,58.7,4.55
20030311,5.4,41.8,46.6,5.43
20030312,6.7,44.1,45.6,6.72
20030313,5.7,42.2,53.7,5.66
20030314,5.6,42.1,59.9,5.61
20030315,8,46.4,54.5,7.98
20030316,7.1,44.8,76.8,7.11
20030317,6.1,43,69.9,6.14
20030318,6.7,44.1,52.3,6.7
20030319,7,44.7,41,7.04
20030320,7.7,45.8,48.3,7.68
20030321,9.6,49.2,50,9.56
20030322,9.9,49.9,51.5,9.93
20030323,9,48.2,46.4,9.01
20030324,8.6,47.5,61.1,8.59
20030325,7.2,44.9,76,7.17
20030326,9.4,48.9,62.5,9.37
20030327,8.5,47.3,61.3,8.49
20030328,6.6,43.8,51.2,6.55
20030329,7.7,45.8,51.4,7.66
20030330,12.1,53.9,43.1,12.14
20030331,15.6,60.1,60.5,15.62
20030401,16.6,61.8,33.5,16.58
20030402,15.1,59.2,33.8,15.1
20030403,13.9,57,26.4,13.9
20030404,14.1,57.4,34,14.14
20030405,12.2,53.9,30.7,12.17
20030406,11.9,53.4,51.2,11.89
20030407,11.2,52.1,53.8,11.16
20030408,10,50.1,73.2,10.05
20030409,8.2,46.7,68.9,8.17
20030410,11,51.8,55,10.99
20030411,9.8,49.6,81.8,9.79
20030412,10.4,50.8,86.8,10.43
20030413,11.5,52.7,59.7,11.5
20030414,13.6,56.4,37.8,13.58
20030415,14.3,57.7,36.6,14.29
20030416,16.5,61.7,38.1,16.49
20030417,18.5,65.4,50,18.54
20030418,17.7,63.8,77.7,17.65
20030419,10.2,50.4,88.1,10.25
20030420,9.6,49.3,92.5,9.6
20030421,12.9,55.2,52.2,12.9
20030422,12.3,54.1,61.1,12.3
20030423,11.5,52.7,83.2,11.48
20030424,14.6,58.2,69.2,14.55
20030425,12.7,54.8,85.7,12.69
20030426,14.1,57.3,68,14.08
20030427,15.4,59.8,64.6,15.45
20030428,17.6,63.7,55,17.6
20030429,13.5,56.3,87.2,13.49
20030430,13.8,56.9,54.1,13.83
20030501,15.7,60.2,51.8,15.67
20030502,17.6,63.7,42.5,17.59
20030503,17.9,64.2,39.9,17.88
20030504,20.7,69.2,46.2,20.69
20030505,22.2,72,47.2,22.25
20030506,18.5,65.3,70.4,18.48
20030507,15.3,59.5,93.3,15.29
20030508,14,57.2,49.3,14
20030509,14.7,58.4,58.5,14.68
20030510,15.9,60.6,51.5,15.89
20030511,17.1,62.8,51.3,17.09
20030512,18.4,65.1,50,18.38
20030513,20.9,69.6,48.8,20.9
20030514,22.4,72.3,49.1,22.37
20030515,21.2,70.2,47,21.2
20030516,20.1,68.3,43.3,20.15
20030517,19.9,67.9,61.5,19.93
20030518,17.7,63.8,67,17.67
20030519,18.2,64.8,64.8,18.2
20030520,18.6,65.5,61,18.59
20030521,19.1,66.4,64.3,19.12
20030522,20.7,69.2,61.8,20.68
20030523,20.7,69.3,53.2,20.74
20030524,20.9,69.6,58,20.91
20030525,17.2,63,78.2,17.24
20030526,21.4,70.4,58,21.36
20030527,23.8,74.8,57.7,23.8
20030528,25.1,77.2,46,25.12
20030529,23.1,73.5,61,23.06
20030530,21.7,71.1,77.1,21.75
20030531,23.9,75,56.6,23.87
20030601,23.6,74.5,51.7,23.63
20030602,22.6,72.7,40.8,22.61
20030603,22.1,71.7,36.9,22.08
20030604,21.7,71.1,36.8,21.71
20030605,22.4,72.3,48.5,22.4
20030606,18.9,66,68.9,18.9
20030607,20.5,68.9,61.5,20.5
20030608,24,75.1,56.4,23.97
20030609,25.8,78.4,44.8,25.77
20030610,23.1,73.5,55.3,23.05
20030611,21.2,70.1,78.1,21.18
20030612,19.2,66.6,91.7,19.25
20030613,20.1,68.3,75,20.14
20030614,20.3,68.5,73.9,20.3
20030615,18.1,64.6,89.7,18.1
20030616,20.3,68.5,79.9,20.3
20030617,22.2,72,69.7,22.2
20030618,22.4,72.4,65.4,22.42
20030619,23.2,73.7,67.2,23.18
20030620,22,71.6,71,22.01
20030621,23.4,74.1,71.3,23.39
20030622,24.5,76.1,68.3,24.48
20030623,21.7,71,84.6,21.69
20030624,16.9,62.4,90.5,16.87
20030625,18.9,66,84,18.9
20030626,22.2,72,74.6,22.21
20030627,20.2,68.3,88.5,20.18
20030628,22.7,72.8,69.5,22.66
20030629,19.8,67.6,87.9,19.8
20030630,22.8,73,74.9,22.76
