date,tempC,tempF,humid,heatindex
20010717,26.5,79.7,57.6,26.48
20010718,26.4,79.5,56.3,26.4
20010719,26.3,79.4,68.3,26.33
20010720,26.3,79.3,76.5,26.29
20010721,26,78.7,82.5,25.96
20010722,26.3,79.3,83.8,26.3
20010723,25.9,78.7,77.3,25.92
20010724,26.1,78.9,72.1,26.06
20010725,28.1,82.5,68.1,30.56
20010726,28.5,83.2,72.6,31.99
20010727,28,82.4,68.6,30.48
20010728,28.2,82.8,68.7,30.96
20010729,25.2,77.3,82.9,25.16
20010730,25.3,77.6,84.3,25.31
20010731,25.8,78.4,84,25.79
20010801,26.8,80.2,83.7,29.61
20010802,28.7,83.7,72.4,32.54
20010803,28.7,83.7,73.2,32.63
20010804,29.5,85,69.5,33.65
20010805,27.3,81.1,69.7,29.26
20010806,28.1,82.5,71.1,30.94
20010807,26.8,80.3,85.9,29.93
20010808,26.5,79.6,80,26.45
20010809,25.4,77.7,69.8,25.39
20010810,26.4,79.5,66.8,26.41
20010811,25.7,78.2,66.7,25.68
20010812,23.9,75,60.3,23.87
20010813,21.5,70.7,81.2,21.52
20010814,24.6,76.4,82.8,24.65
20010815,25.2,77.3,87.3,25.16
20010816,28.1,82.6,73.7,31.41
20010817,29.8,85.7,63.9,33.3
20010818,29,84.3,59.5,31.03
20010819,28,82.4,60.4,29.53
20010820,27.9,82.1,61.2,29.36
20010821,27.4,81.4,70.6,29.7
20010822,26.8,80.3,71.2,28.64
20010823,26.6,79.8,68,26.55
20010824,26.5,79.7,61,26.5
20010825,25.4,77.7,65.2,25.4
20010826,25.6,78,60.2,25.58
20010827,25.7,78.2,51,25.69
20010828,25.1,77.2,51.5,25.1
20010829,23.5,74.3,70.3,23.48
20010830,24.1,75.3,66.5,24.06
20010831,25,76.9,66,24.95
20010901,26,78.7,57.5,25.96
20010902,26.2,79.2,46.7,26.23
20010903,27,80.6,53.5,27.64
20010904,25.7,78.2,63.3,25.67
20010905,25.3,77.6,67.7,25.33
20010906,23.3,73.9,79.5,23.3
20010907,24.2,75.5,64.6,24.18
20010908,24.8,76.6,62.5,24.76
20010909,24.5,76.1,68,24.5
20010910,24.3,75.8,58,24.32
20010911,23.3,74,52,23.32
20010912,22,71.7,50.1,22.04
20010913,22.7,72.9,53.1,22.71
20010914,21.8,71.3,57,21.84
20010915,23.5,74.4,51.5,23.53
20010916,24.2,75.6,56.5,24.24
20010917,23.6,74.4,71.6,23.56
20010918,23.3,73.9,56.5,23.3
20010919,20.7,69.3,51.8,20.72
